,TEAM_ID,X,Y,SHOT_MADE_FLAG,Distance,zones,zones2
0,1610612755,5.3,26.4,0,26.92675249635574,NC3,NC3
3,1610612755,0.8,0.3,1,0.8544003745317532,2PT,2PT
5,1610612755,17.7,19.3,0,26.187401551127596,NC3,NC3
7,1610612755,0.9,2.1,0,2.2847319317591728,2PT,2PT
9,1610612755,0.5,1.9,0,1.96468827043885,2PT,2PT
10,1610612755,3.1,0.8,0,3.2015621187164247,2PT,2PT
11,1610612755,0.0,0.6,0,0.6,2PT,2PT
13,1610612755,5.8,16.1,0,17.11286066091815,2PT,2PT
14,1610612755,1.3,2.1,1,2.4698178070456938,2PT,2PT
17,1610612755,4.1,1.5,1,4.365775990588615,2PT,2PT
19,1610612755,7.8,11.9,1,14.228492541376266,2PT,2PT
22,1610612755,14.9,22.1,0,26.65370518333239,NC3,NC3
24,1610612755,7.6,16.2,0,17.894133116750865,2PT,2PT
27,1610612755,9.2,17.4,0,19.68247951859724,2PT,2PT
28,1610612755,4.0,3.6,0,5.3814496188294845,2PT,2PT
30,1610612755,0.5,0.8,1,0.9433981132056605,2PT,2PT
33,1610612755,3.6,26.2,0,26.44617174564213,NC3,NC3
35,1610612755,16.6,19.3,1,25.4568261965234,NC3,NC3
37,1610612755,3.0,0.4,0,3.026549190084311,2PT,2PT
41,1610612755,7.9,16.4,0,18.203571078225284,2PT,2PT
43,1610612755,0.2,1.4,1,1.414213562373095,2PT,2PT
44,1610612755,1.5,1.0,1,1.8027756377319946,2PT,2PT
46,1610612755,0.1,1.9,1,1.9026297590440446,2PT,2PT
51,1610612755,4.4,3.2,0,5.440588203494178,2PT,2PT
54,1610612755,1.9,0.9,0,2.1023796041628637,2PT,2PT
57,1610612755,11.9,24.3,0,27.057346507002492,NC3,NC3
59,1610612755,2.2,13.2,1,13.382077566656083,2PT,2PT
61,1610612755,5.1,26.9,1,27.37918917718346,NC3,NC3
62,1610612755,1.9,20.6,0,20.687435800504616,2PT,2PT
64,1610612755,14.9,21.5,0,26.158363863208265,NC3,NC3
66,1610612755,18.3,19.4,0,26.669270706189174,NC3,NC3
67,1610612755,6.8,12.2,0,13.96710420953463,2PT,2PT
69,1610612755,0.9,2.6,1,2.751363298439521,2PT,2PT
70,1610612755,2.5,1.0,0,2.692582403567252,2PT,2PT
72,1610612755,8.4,8.2,0,11.738824472663351,2PT,2PT
73,1610612755,6.4,6.2,1,8.910667763978186,2PT,2PT
75,1610612755,0.5,3.1,1,3.1400636936215167,2PT,2PT
78,1610612755,19.6,4.6,0,20.132560691576224,2PT,2PT
80,1610612755,0.8,1.9,1,2.0615528128088303,2PT,2PT
82,1610612755,9.7,23.6,0,25.51568145278507,NC3,NC3
84,1610612755,2.0,2.1,1,2.9,2PT,2PT
86,1610612755,18.9,0.4,1,18.90423233035396,2PT,2PT
92,1610612755,9.9,16.6,1,19.32795902313537,2PT,2PT
94,1610612755,13.8,23.9,0,27.598007174432,NC3,NC3
96,1610612755,20.1,19.3,0,27.865749586185547,NC3,NC3
